lineage,1903c111_10m-1,1903c111_10m-2,1903c111_10m-3,1903c117_50m-1,1903c117_50m-2,1903c117_50m-3,1903c118_23m-2,1903c118_23m-3,1903c119_11m-2,1903c119_11m-3,1903c122_28m-1,1903c122_28m-2,1903c122_28m-3,1903c123_10m-1,1903c123_10m-2,1903c123_10m-3,1903c124_15m-1,1903c124_15m-2,1903c124_15m-3,1903c126_45m-1,1903c126_45m-2,1903c126_45m-3,1903c127_7m-1,1903c127_7m-2,1903c127_7m-3,1903c129_26m-1,1903c129_26m-2,1903c129_26m-3,1903c144_13m-2,1903c144_13m-3,Las19c107_10m-1,Las19c107_10m-2,Las19c107_10m-3,Las19c135_5m-1,Las19c135_5m-2,Las19c135_5m-3,Las19c138_27m-1,Las19c138_27m-3
Alveolata;Ciliophora;Litostomatea;Cyclotrichiida;Mesodiniidae;Mesodinium;Mesodinium pulex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.0
Alveolata;Ciliophora;Spirotrichea;Tintinnida;Ptychocylididae;Favella;Favella ehrenbergii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157000.0,0.0,0.0,0.0,0.0,206000.0,0.0,0.0,0.0,0.0
Alveolata;Dinophyta;Dinophyceae;Gonyualacales;Crypthecodiniacea;Crypthecodinium;Crypthecodinium cohnii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,56000.0,0.0
Alveolata;Dinophyta;Dinophyceae;Gonyualacales;Goniodomataceae;Alexandrium;Alexandrium tamarense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109000.0,0.0
Alveolata;Dinophyta;Dinophyceae;Suessiales;Suessiaceae;Pelagodinium;Pelagodinium bii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0
Alveolata;Dinophyta;Dinophyceae;Suessiales;Suessiaceae;Polarella;Polarella glacialis,50000.0,60000.0,0.0,50000.0,0.0,60000.0,0.0,0.0,0.0,109000.0,0.0,0.0,0.0,54000.0,59000.0,0.0,0.0,53000.0,0.0,0.0,0.0,0.0,91000.0,93000.0,0.0,0.0,0.0,76000.0,59000.0,60000.0,0.0,0.0,0.0,78000.0,88000.0,0.0,66000.0,68000.0
Cryptophyta;Cryptophyta;Cryptophyceae;Cryptomonadales;Hemiselmidaceae;Hemiselmis;Hemiselmis rufescens,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74000.0,0.0
Cryptophyta;Cryptophyta;Cryptophyceae;Pyrenomonadales;Geminigeracea;Geminigera;Geminigera sp.,0.0,57000.0,0.0,0.0,54000.0,0.0,0.0,0.0,0.0,55000.0,58000.0,0.0,0.0,50000.0,54000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56000.0,53000.0,0.0,0.0,59000.0,0.0,52000.0,0.0,0.0,0.0,0.0,52000.0,50000.0,0.0,86000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Coccolithales;Coccolithaceae;Coccolithus;Coccolithus pelagicusssp.braarudi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Isochrysidales;Isochrysidaceae;Isochrysis;Isochrysis sp.,360000.0,356000.0,0.0,174000.0,119000.0,78000.0,0.0,0.0,86000.0,121000.0,155000.0,237000.0,0.0,841000.0,668000.0,0.0,608000.0,427000.0,0.0,483000.0,638000.0,0.0,83000.0,76000.0,0.0,181000.0,502000.0,0.0,0.0,0.0,799000.0,772000.0,0.0,244000.0,227000.0,0.0,2351000.0,0.0
Haptophyta;Haptophyta;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae;Emiliania;Emiliania huxleyi,1694000.0,1461000.0,0.0,781000.0,378000.0,221000.0,88000.0,0.0,313000.0,293000.0,659000.0,1068000.0,0.0,3684000.0,2846000.0,0.0,2450000.0,1936000.0,0.0,2173000.0,2928000.0,74000.0,292000.0,257000.0,0.0,797000.0,2281000.0,58000.0,0.0,0.0,3413000.0,3118000.0,0.0,1178000.0,1015000.0,0.0,10510000.0,76000.0
