,Domain,Phylum,Class,Order,Family,Genus,Species
TAX_1,Archaea,Thaumarchaeota,Marine Group I,Cenarchaeales,Cenarchaeaceae,Cenarchaeum,Thaumarchaeota archaeon SCGC AAA007-O23
TAX_2,Archaea,Thermoplasmatota,Poseidoniia,MGIII,CG-Epi1,CG-Epi1,CG-Epi1 sp002497685
TAX_3,Archaea,Thermoplasmatota,Poseidoniia,MGIII,CG-Epi1,CG-Epi1,CG-Epi1 sp014240255
TAX_4,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-K1,MGIIa-K1 sp009936765
TAX_5,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp000246735
TAX_6,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp002495535
TAX_7,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp002502605
TAX_8,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp002687075
TAX_9,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp002726395
TAX_10,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp009937025
TAX_11,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp018659375
TAX_12,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp018667575
TAX_13,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp018691345
TAX_14,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L1,MGIIa-L1 sp018701175
TAX_15,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L2,MGIIa-L2 sp009887135
TAX_16,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L2,MGIIa-L2 sp016777125
TAX_17,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L2,MGIIa-L2 sp018645535
TAX_18,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L2,MGIIa-L2 sp018666575
TAX_19,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,MGIIa-L3,MGIIa-L3 sp002496845
TAX_20,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,Poseidonia,Poseidonia sp002502295
TAX_21,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,Poseidonia,Poseidonia sp002704515
TAX_22,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,Poseidonia,Poseidonia sp002726495
TAX_23,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,Poseidonia,Poseidonia sp018662715
TAX_24,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Poseidoniaceae,Poseidonia,Poseidonia sp8339u
TAX_25,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-N1,MGIIb-N1 sp002497295
TAX_26,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O1,MGIIb-O1 sp002457595
TAX_27,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O1,MGIIb-O1 sp002497895
TAX_28,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O1,MGIIb-O1 sp8684u
TAX_29,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp002494975
TAX_30,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp002498985
TAX_31,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp002685315
TAX_32,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp016777225
TAX_33,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O2,MGIIb-O2 sp902511005
TAX_34,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp002457155
TAX_35,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp002503285
TAX_36,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp002683155
TAX_37,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp002719615
TAX_38,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp002731195
TAX_39,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O3,MGIIb-O3 sp003602515
TAX_40,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O5,MGIIb-O5 sp002496725
TAX_41,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O5,MGIIb-O5 sp002499345
TAX_42,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O5,MGIIb-O5 sp002506825
TAX_43,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-O5,MGIIb-O5 sp002726275
TAX_44,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,MGIIb-P,MGIIb-P sp002457195
TAX_45,Archaea,Thermoplasmatota,Poseidoniia,Poseidoniales,Thalassarchaeaceae,Thalassarchaeum,Thalassarchaeum sp002457605
TAX_46,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Nitrosopelagicus sp018647405
TAX_47,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopelagicus,Nitrosopelagicus sp018691945
TAX_48,Archaea,Thermoproteota,Nitrososphaeria,Nitrososphaerales,Nitrosopumilaceae,Nitrosopumilus,Nitrosopumilus catalinensis
